App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current_Ver,Android_Ver
PE&CC&G&S,ART_AND_DESIGN,4.1,159,19.0,10000.0,Free,0.0,Everyone,Art & Design,2018-01-07,0.0,4.0.3 and up
Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000.0,Free,0.0,Everyone,Art & Design;Pretend Play,2018-01-15,0.0,4.0.3 and up
ULL–FLCTHA,ART_AND_DESIGN,4.7,87510,8.7,5000000.0,Free,0.0,Everyone,Art & Design,2018-08-01,0.0,4.0.3 and up
S-D&P,ART_AND_DESIGN,4.5,215644,25.0,50000000.0,Free,0.0,Teen,Art & Design,2018-06-08,0.0,4.2 and up
PD-NACB,ART_AND_DESIGN,4.3,967,2.8,100000.0,Free,0.0,Everyone,Art & Design;Creativity,2018-06-20,1.1,4.4 and up
PFI,ART_AND_DESIGN,4.4,167,5.6,50000.0,Free,0.0,Everyone,Art & Design,2017-03-26,1.0,2.3 and up
SEPM-SE,ART_AND_DESIGN,3.8,178,19.0,50000.0,Free,0.0,Everyone,Art & Design,2018-04-26,1.1,4.0.3 and up
Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,1000000.0,Free,0.0,Everyone,Art & Design,2018-06-14,0.0,4.2 and up
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000.0,Free,0.0,Everyone,Art & Design,2017-09-20,0.0,3.0 and up
KPF-DF,ART_AND_DESIGN,4.7,121,3.1,10000.0,Free,0.0,Everyone,Art & Design;Creativity,2018-07-03,2.8,4.0.3 and up
TOP-F,ART_AND_DESIGN,4.4,13880,28.0,1000000.0,Free,0.0,Everyone,Art & Design,2017-10-27,0.0,4.1 and up
NAPE-FNF,ART_AND_DESIGN,4.4,8788,12.0,1000000.0,Free,0.0,Everyone,Art & Design,2018-07-31,0.0,4.0 and up
TNOMPE,ART_AND_DESIGN,4.2,44829,20.0,10000000.0,Free,0.0,Teen,Art & Design,2018-04-02,3.8,4.1 and up
